nome_associado;sobrenome_associado;idade_associado;vlr_transacao_movimento;des_tranacao_movimento;data_movimento;numero_cartao;nome_impresso_cartao;data_criacao_cartao;tipo_conta;data_criacao_conta
Nome24;Sobrenome24;42;304.00;Pagamento Aluguel;2024-11-10 17:16:35;4000000000000242;Nome24;2025-08-07 17:16:35;F;2025-08-07 17:16:35
Nome17;Sobrenome17;35;327.00;Restaurante;2024-10-18 17:16:35;4000000000000171;Nome17;2025-08-14 17:16:35;J;2025-08-14 17:16:35
Nome23;Sobrenome23;41;753.00;Compra Online;2023-08-19 17:16:35;4000000000000232;Nome23;2025-08-08 17:16:35;J;2025-08-08 17:16:35
Nome34;Sobrenome34;52;194.00;Supermercado;2025-02-28 17:16:35;4000000000000341;Nome34;2025-07-28 17:16:35;F;2025-07-28 17:16:35
Nome52;Sobrenome52;20;62.00;Supermercado;2025-07-10 17:16:35;4000000000000521;Nome52;2025-07-10 17:16:35;F;2025-07-10 17:16:35
Nome20;Sobrenome20;38;130.00;Supermercado;2025-05-03 17:16:35;4000000000001201;Nome20;2025-05-03 17:16:35;F;2025-05-03 17:16:35
Nome9;Sobrenome9;27;719.00;Restaurante;2023-09-22 17:16:35;4000000000001091;Nome9;2025-05-14 17:16:35;J;2025-05-14 17:16:35
Nome11;Sobrenome11;29;871.00;Restaurante;2023-04-23 17:16:35;4000000000001111;Nome11;2025-05-12 17:16:35;J;2025-05-12 17:16:35
Nome66;Sobrenome66;34;826.00;Supermercado;2023-06-07 17:16:35;4000000000000661;Nome66;2025-06-26 17:16:35;F;2025-06-26 17:16:35
Nome18;Sobrenome18;36;878.00;Supermercado;2023-04-16 17:16:35;4000000000001181;Nome18;2025-05-05 17:16:35;F;2025-05-05 17:16:35
Nome74;Sobrenome74;42;384.00;Pagamento Aluguel;2024-08-22 17:16:35;4000000000000741;Nome74;2025-06-18 17:16:35;F;2025-06-18 17:16:35
Nome13;Sobrenome13;31;723.00;Restaurante;2023-09-18 17:16:35;4000000000001131;Nome13;2025-05-10 17:16:35;J;2025-05-10 17:16:35
Nome15;Sobrenome15;33;895.00;Restaurante;2023-03-30 17:16:35;4000000000000152;Nome15;2025-08-16 17:16:35;J;2025-08-16 17:16:35
Nome87;Sobrenome87;55;847.00;Restaurante;2023-05-17 17:16:35;4000000000000871;Nome87;2025-06-05 17:16:35;J;2025-06-05 17:16:35
Nome31;Sobrenome31;49;41.00;Compra Online;2025-07-31 17:16:35;4000000000000311;Nome31;2025-07-31 17:16:35;J;2025-07-31 17:16:35
Nome78;Sobrenome78;46;538.00;Supermercado;2024-03-21 17:16:35;4000000000000781;Nome78;2025-06-14 17:16:35;F;2025-06-14 17:16:35
Nome28;Sobrenome28;46;908.00;Pagamento Aluguel;2023-03-17 17:16:35;4000000000000282;Nome28;2025-08-03 17:16:35;F;2025-08-03 17:16:35
Nome96;Sobrenome96;64;856.00;Pagamento Aluguel;2023-05-08 17:16:35;4000000000000961;Nome96;2025-05-27 17:16:35;F;2025-05-27 17:16:35
Nome5;Sobrenome5;23;465.00;Compra Online;2024-06-02 17:16:35;4000000000000051;Nome5;2025-08-26 17:16:35;J;2025-08-26 17:16:35
Nome4;Sobrenome4;22;164.00;Pagamento Aluguel;2025-03-30 17:16:35;4000000000000041;Nome4;2025-08-27 17:16:35;F;2025-08-27 17:16:35
Nome20;Sobrenome20;38;150.00;Supermercado;2025-04-13 17:16:35;4000000000000202;Nome20;2025-08-11 17:16:35;F;2025-08-11 17:16:35
Nome92;Sobrenome92;60;402.00;Supermercado;2024-08-04 17:16:35;4000000000000921;Nome92;2025-05-31 17:16:35;F;2025-05-31 17:16:35
Nome9;Sobrenome9;27;319.00;Restaurante;2024-10-26 17:16:35;4000000000000091;Nome9;2025-08-22 17:16:35;J;2025-08-22 17:16:35
Nome35;Sobrenome35;53;195.00;Restaurante;2025-02-27 17:16:35;4000000000000351;Nome35;2025-07-27 17:16:35;J;2025-07-27 17:16:35
Nome4;Sobrenome4;22;764.00;Pagamento Aluguel;2023-08-08 17:16:35;4000000000000041;Nome4;2025-08-27 17:16:35;F;2025-08-27 17:16:35
Nome7;Sobrenome7;25;737.00;Compra Online;2023-09-04 17:16:35;4000000000000072;Nome7;2025-08-24 17:16:35;J;2025-08-24 17:16:35
Nome95;Sobrenome95;63;105.00;Compra Online;2025-05-28 17:16:35;4000000000000951;Nome95;2025-05-28 17:16:35;J;2025-05-28 17:16:35
Nome29;Sobrenome29;47;939.00;Restaurante;2023-02-14 17:16:35;4000000000000291;Nome29;2025-08-02 17:16:35;J;2025-08-02 17:16:35
Nome13;Sobrenome13;31;273.00;Compra Online;2024-12-11 17:16:35;4000000000001131;Nome13;2025-05-10 17:16:35;J;2025-05-10 17:16:35
Nome3;Sobrenome3;21;263.00;Restaurante;2024-12-21 17:16:35;4000000000001031;Nome3;2025-05-20 17:16:35;J;2025-05-20 17:16:35
Nome15;Sobrenome15;33;625.00;Compra Online;2023-12-25 17:16:35;4000000000000151;Nome15;2025-08-16 17:16:35;J;2025-08-16 17:16:35
Nome67;Sobrenome67;35;527.00;Restaurante;2024-04-01 17:16:35;4000000000000671;Nome67;2025-06-25 17:16:35;J;2025-06-25 17:16:35
Nome18;Sobrenome18;36;748.00;Pagamento Aluguel;2023-08-24 17:16:35;4000000000000182;Nome18;2025-08-13 17:16:35;F;2025-08-13 17:16:35
Nome65;Sobrenome65;33;525.00;Compra Online;2024-04-03 17:16:35;4000000000000651;Nome65;2025-06-27 17:16:35;J;2025-06-27 17:16:35
Nome8;Sobrenome8;26;18.00;Supermercado;2025-08-23 17:16:35;4000000000000081;Nome8;2025-08-23 17:16:35;F;2025-08-23 17:16:35
Nome76;Sobrenome76;44;986.00;Supermercado;2022-12-29 17:16:35;4000000000000761;Nome76;2025-06-16 17:16:35;F;2025-06-16 17:16:35
Nome16;Sobrenome16;34;876.00;Pagamento Aluguel;2023-04-18 17:16:35;4000000000001161;Nome16;2025-05-07 17:16:35;F;2025-05-07 17:16:35
Nome12;Sobrenome12;30;772.00;Pagamento Aluguel;2023-07-31 17:16:35;4000000000000121;Nome12;2025-08-19 17:16:35;F;2025-08-19 17:16:35
Nome13;Sobrenome13;31;623.00;Restaurante;2023-12-27 17:16:35;4000000000000131;Nome13;2025-08-18 17:16:35;J;2025-08-18 17:16:35
Nome37;Sobrenome37;55;347.00;Restaurante;2024-09-28 17:16:35;4000000000000371;Nome37;2025-07-25 17:16:35;J;2025-07-25 17:16:35
Nome35;Sobrenome35;53;795.00;Restaurante;2023-07-08 17:16:35;4000000000000351;Nome35;2025-07-27 17:16:35;J;2025-07-27 17:16:35
Nome44;Sobrenome44;62;54.00;Supermercado;2025-07-18 17:16:35;4000000000000441;Nome44;2025-07-18 17:16:35;F;2025-07-18 17:16:35
Nome20;Sobrenome20;38;600.00;Pagamento Aluguel;2024-01-19 17:16:35;4000000000000202;Nome20;2025-08-11 17:16:35;F;2025-08-11 17:16:35
Nome9;Sobrenome9;27;919.00;Restaurante;2023-03-06 17:16:35;4000000000000091;Nome9;2025-08-22 17:16:35;J;2025-08-22 17:16:35
Nome7;Sobrenome7;25;587.00;Restaurante;2024-02-01 17:16:35;4000000000000072;Nome7;2025-08-24 17:16:35;J;2025-08-24 17:16:35
Nome98;Sobrenome98;66;408.00;Pagamento Aluguel;2024-07-29 17:16:35;4000000000000981;Nome98;2025-05-25 17:16:35;F;2025-05-25 17:16:35
Nome14;Sobrenome14;32;474.00;Supermercado;2024-05-24 17:16:35;4000000000000141;Nome14;2025-08-17 17:16:35;F;2025-08-17 17:16:35
Nome36;Sobrenome36;54;796.00;Pagamento Aluguel;2023-07-07 17:16:35;4000000000000361;Nome36;2025-07-26 17:16:35;F;2025-07-26 17:16:35
Nome65;Sobrenome65;33;675.00;Restaurante;2023-11-05 17:16:35;4000000000000651;Nome65;2025-06-27 17:16:35;J;2025-06-27 17:16:35
Nome6;Sobrenome6;24;286.00;Supermercado;2024-11-28 17:16:35;4000000000000062;Nome6;2025-08-25 17:16:35;F;2025-08-25 17:16:35
Nome3;Sobrenome3;21;113.00;Compra Online;2025-05-20 17:16:35;4000000000001031;Nome3;2025-05-20 17:16:35;J;2025-05-20 17:16:35
Nome88;Sobrenome88;56;698.00;Supermercado;2023-10-13 17:16:35;4000000000000881;Nome88;2025-06-04 17:16:35;F;2025-06-04 17:16:35
Nome23;Sobrenome23;41;933.00;Compra Online;2023-02-20 17:16:35;4000000000000231;Nome23;2025-08-08 17:16:35;J;2025-08-08 17:16:35
Nome11;Sobrenome11;29;741.00;Compra Online;2023-08-31 17:16:35;4000000000000112;Nome11;2025-08-20 17:16:35;J;2025-08-20 17:16:35
Nome49;Sobrenome49;67;509.00;Compra Online;2024-04-19 17:16:35;4000000000000491;Nome49;2025-07-13 17:16:35;J;2025-07-13 17:16:35
Nome63;Sobrenome63;31;523.00;Restaurante;2024-04-05 17:16:35;4000000000000631;Nome63;2025-06-29 17:16:35;J;2025-06-29 17:16:35
Nome10;Sobrenome10;28;470.00;Supermercado;2024-05-28 17:16:35;4000000000000101;Nome10;2025-08-21 17:16:35;F;2025-08-21 17:16:35
Nome90;Sobrenome90;58;850.00;Supermercado;2023-05-14 17:16:35;4000000000000901;Nome90;2025-06-02 17:16:35;F;2025-06-02 17:16:35
Nome2;Sobrenome2;20;312.00;Pagamento Aluguel;2024-11-02 17:16:35;4000000000000021;Nome2;2025-08-29 17:16:35;F;2025-08-29 17:16:35
Nome20;Sobrenome20;38;430.00;Supermercado;2024-07-07 17:16:35;4000000000001201;Nome20;2025-05-03 17:16:35;F;2025-05-03 17:16:35
Nome8;Sobrenome8;26;168.00;Pagamento Aluguel;2025-03-26 17:16:35;4000000000000081;Nome8;2025-08-23 17:16:35;F;2025-08-23 17:16:35
Nome87;Sobrenome87;55;697.00;Compra Online;2023-10-14 17:16:35;4000000000000871;Nome87;2025-06-05 17:16:35;J;2025-06-05 17:16:35
Nome98;Sobrenome98;66;1008.00;Pagamento Aluguel;2022-12-07 17:16:35;4000000000000981;Nome98;2025-05-25 17:16:35;F;2025-05-25 17:16:35
Nome75;Sobrenome75;43;685.00;Compra Online;2023-10-26 17:16:35;4000000000000751;Nome75;2025-06-17 17:16:35;J;2025-06-17 17:16:35
Nome14;Sobrenome14;32;774.00;Supermercado;2023-07-29 17:16:35;4000000000000141;Nome14;2025-08-17 17:16:35;F;2025-08-17 17:16:35
Nome31;Sobrenome31;49;341.00;Compra Online;2024-10-04 17:16:35;4000000000000311;Nome31;2025-07-31 17:16:35;J;2025-07-31 17:16:35
Nome59;Sobrenome59;27;969.00;Compra Online;2023-01-15 17:16:35;4000000000000591;Nome59;2025-07-03 17:16:35;J;2025-07-03 17:16:35
Nome10;Sobrenome10;28;290.00;Supermercado;2024-11-24 17:16:35;4000000000000102;Nome10;2025-08-21 17:16:35;F;2025-08-21 17:16:35
Nome21;Sobrenome21;39;751.00;Restaurante;2023-08-21 17:16:35;4000000000000212;Nome21;2025-08-10 17:16:35;J;2025-08-10 17:16:35
Nome30;Sobrenome30;48;190.00;Supermercado;2025-03-04 17:16:35;4000000000000301;Nome30;2025-08-01 17:16:35;F;2025-08-01 17:16:35
Nome27;Sobrenome27;45;607.00;Restaurante;2024-01-12 17:16:35;4000000000000272;Nome27;2025-08-04 17:16:35;J;2025-08-04 17:16:35
Nome6;Sobrenome6;24;766.00;Supermercado;2023-08-06 17:16:35;4000000000000061;Nome6;2025-08-25 17:16:35;F;2025-08-25 17:16:35
Nome48;Sobrenome48;66;208.00;Pagamento Aluguel;2025-02-14 17:16:35;4000000000000481;Nome48;2025-07-14 17:16:35;F;2025-07-14 17:16:35
Nome5;Sobrenome5;23;715.00;Restaurante;2023-09-26 17:16:35;4000000000001051;Nome5;2025-05-18 17:16:35;J;2025-05-18 17:16:35
Nome83;Sobrenome83;51;993.00;Compra Online;2022-12-22 17:16:35;4000000000000831;Nome83;2025-06-09 17:16:35;J;2025-06-09 17:16:35
Nome27;Sobrenome27;45;637.00;Compra Online;2023-12-13 17:16:35;4000000000000271;Nome27;2025-08-04 17:16:35;J;2025-08-04 17:16:35
Nome22;Sobrenome22;40;332.00;Pagamento Aluguel;2024-10-13 17:16:35;4000000000000221;Nome22;2025-08-09 17:16:35;F;2025-08-09 17:16:35
Nome13;Sobrenome13;31;923.00;Restaurante;2023-03-02 17:16:35;4000000000000131;Nome13;2025-08-18 17:16:35;J;2025-08-18 17:16:35
Nome20;Sobrenome20;38;750.00;Supermercado;2023-08-22 17:16:35;4000000000000202;Nome20;2025-08-11 17:16:35;F;2025-08-11 17:16:35
Nome40;Sobrenome40;58;200.00;Pagamento Aluguel;2025-02-22 17:16:35;4000000000000401;Nome40;2025-07-22 17:16:35;F;2025-07-22 17:16:35
Nome72;Sobrenome72;40;82.00;Supermercado;2025-06-20 17:16:35;4000000000000721;Nome72;2025-06-20 17:16:35;F;2025-06-20 17:16:35
Nome7;Sobrenome7;25;887.00;Restaurante;2023-04-07 17:16:35;4000000000000072;Nome7;2025-08-24 17:16:35;J;2025-08-24 17:16:35
Nome38;Sobrenome38;56;798.00;Supermercado;2023-07-05 17:16:35;4000000000000381;Nome38;2025-07-24 17:16:35;F;2025-07-24 17:16:35
Nome80;Sobrenome80;48;690.00;Supermercado;2023-10-21 17:16:35;4000000000000801;Nome80;2025-06-12 17:16:35;F;2025-06-12 17:16:35
Nome68;Sobrenome68;36;228.00;Pagamento Aluguel;2025-01-25 17:16:35;4000000000000681;Nome68;2025-06-24 17:16:35;F;2025-06-24 17:16:35
Nome26;Sobrenome26;44;186.00;Supermercado;2025-03-08 17:16:35;4000000000000261;Nome26;2025-08-05 17:16:35;F;2025-08-05 17:16:35
Nome22;Sobrenome22;40;452.00;Pagamento Aluguel;2024-06-15 17:16:35;4000000000000222;Nome22;2025-08-09 17:16:35;F;2025-08-09 17:16:35
Nome13;Sobrenome13;31;593.00;Compra Online;2024-01-26 17:16:35;4000000000000132;Nome13;2025-08-18 17:16:35;J;2025-08-18 17:16:35
Nome19;Sobrenome19;37;299.00;Restaurante;2024-11-15 17:16:35;4000000000000192;Nome19;2025-08-12 17:16:35;J;2025-08-12 17:16:35
Nome68;Sobrenome68;36;528.00;Pagamento Aluguel;2024-03-31 17:16:35;4000000000000681;Nome68;2025-06-24 17:16:35;F;2025-06-24 17:16:35
Nome53;Sobrenome53;21;813.00;Compra Online;2023-06-20 17:16:35;4000000000000531;Nome53;2025-07-09 17:16:35;J;2025-07-09 17:16:35
Nome26;Sobrenome26;44;36.00;Pagamento Aluguel;2025-08-05 17:16:35;4000000000000261;Nome26;2025-08-05 17:16:35;F;2025-08-05 17:16:35
Nome6;Sobrenome6;24;616.00;Pagamento Aluguel;2024-01-03 17:16:35;4000000000000061;Nome6;2025-08-25 17:16:35;F;2025-08-25 17:16:35
Nome39;Sobrenome39;57;949.00;Compra Online;2023-02-04 17:16:35;4000000000000391;Nome39;2025-07-23 17:16:35;J;2025-07-23 17:16:35
Nome2;Sobrenome2;20;562.00;Supermercado;2024-02-26 17:16:35;4000000000001021;Nome2;2025-05-21 17:16:35;F;2025-05-21 17:16:35
Nome99;Sobrenome99;67;709.00;Compra Online;2023-10-02 17:16:35;4000000000000991;Nome99;2025-05-24 17:16:35;J;2025-05-24 17:16:35
Nome91;Sobrenome91;59;251.00;Restaurante;2025-01-02 17:16:35;4000000000000911;Nome91;2025-06-01 17:16:35;J;2025-06-01 17:16:35
Nome13;Sobrenome13;31;743.00;Restaurante;2023-08-29 17:16:35;4000000000000132;Nome13;2025-08-18 17:16:35;J;2025-08-18 17:16:35
Nome43;Sobrenome43;61;353.00;Compra Online;2024-09-22 17:16:35;4000000000000431;Nome43;2025-07-19 17:16:35;J;2025-07-19 17:16:35
Nome10;Sobrenome10;28;320.00;Pagamento Aluguel;2024-10-25 17:16:35;4000000000000101;Nome10;2025-08-21 17:16:35;F;2025-08-21 17:16:35
Nome31;Sobrenome31;49;791.00;Restaurante;2023-07-12 17:16:35;4000000000000311;Nome31;2025-07-31 17:16:35;J;2025-07-31 17:16:35
Nome17;Sobrenome17;35;727.00;Restaurante;2023-09-14 17:16:35;4000000000001171;Nome17;2025-05-06 17:16:35;J;2025-05-06 17:16:35
Nome55;Sobrenome55;23;815.00;Restaurante;2023-06-18 17:16:35;4000000000000551;Nome55;2025-07-07 17:16:35;J;2025-07-07 17:16:35
Nome23;Sobrenome23;41;33.00;Compra Online;2025-08-08 17:16:35;4000000000000231;Nome23;2025-08-08 17:16:35;J;2025-08-08 17:16:35
Nome78;Sobrenome78;46;88.00;Pagamento Aluguel;2025-06-14 17:16:35;4000000000000781;Nome78;2025-06-14 17:16:35;F;2025-06-14 17:16:35
Nome90;Sobrenome90;58;400.00;Pagamento Aluguel;2024-08-06 17:16:35;4000000000000901;Nome90;2025-06-02 17:16:35;F;2025-06-02 17:16:35
Nome89;Sobrenome89;57;699.00;Restaurante;2023-10-12 17:16:35;4000000000000891;Nome89;2025-06-03 17:16:35;J;2025-06-03 17:16:35
Nome5;Sobrenome5;23;165.00;Compra Online;2025-03-29 17:16:35;4000000000000051;Nome5;2025-08-26 17:16:35;J;2025-08-26 17:16:35
Nome4;Sobrenome4;22;464.00;Pagamento Aluguel;2024-06-03 17:16:35;4000000000000041;Nome4;2025-08-27 17:16:35;F;2025-08-27 17:16:35
Nome63;Sobrenome63;31;973.00;Compra Online;2023-01-11 17:16:35;4000000000000631;Nome63;2025-06-29 17:16:35;J;2025-06-29 17:16:35
Nome14;Sobrenome14;32;924.00;Pagamento Aluguel;2023-03-01 17:16:35;4000000000000141;Nome14;2025-08-17 17:16:35;F;2025-08-17 17:16:35
Nome65;Sobrenome65;33;825.00;Compra Online;2023-06-08 17:16:35;4000000000000651;Nome65;2025-06-27 17:16:35;J;2025-06-27 17:16:35
Nome91;Sobrenome91;59;101.00;Compra Online;2025-06-01 17:16:35;4000000000000911;Nome91;2025-06-01 17:16:35;J;2025-06-01 17:16:35
Nome73;Sobrenome73;41;683.00;Restaurante;2023-10-28 17:16:35;4000000000000731;Nome73;2025-06-19 17:16:35;J;2025-06-19 17:16:35
Nome75;Sobrenome75;43;235.00;Restaurante;2025-01-18 17:16:35;4000000000000751;Nome75;2025-06-17 17:16:35;J;2025-06-17 17:16:35
Nome75;Sobrenome75;43;835.00;Restaurante;2023-05-29 17:16:35;4000000000000751;Nome75;2025-06-17 17:16:35;J;2025-06-17 17:16:35
Nome11;Sobrenome11;29;891.00;Restaurante;2023-04-03 17:16:35;4000000000000112;Nome11;2025-08-20 17:16:35;J;2025-08-20 17:16:35
Nome36;Sobrenome36;54;346.00;Supermercado;2024-09-29 17:16:35;4000000000000361;Nome36;2025-07-26 17:16:35;F;2025-07-26 17:16:35
Nome26;Sobrenome26;44;486.00;Supermercado;2024-05-12 17:16:35;4000000000000261;Nome26;2025-08-05 17:16:35;F;2025-08-05 17:16:35
Nome6;Sobrenome6;24;266.00;Supermercado;2024-12-18 17:16:35;4000000000001061;Nome6;2025-05-17 17:16:35;F;2025-05-17 17:16:35
Nome62;Sobrenome62;30;222.00;Supermercado;2025-01-31 17:16:35;4000000000000621;Nome62;2025-06-30 17:16:35;F;2025-06-30 17:16:35
Nome3;Sobrenome3;21;13.00;Compra Online;2025-08-28 17:16:35;4000000000000031;Nome3;2025-08-28 17:16:35;J;2025-08-28 17:16:35
Nome48;Sobrenome48;66;58.00;Supermercado;2025-07-14 17:16:35;4000000000000481;Nome48;2025-07-14 17:16:35;F;2025-07-14 17:16:35
Nome4;Sobrenome4;22;14.00;Supermercado;2025-08-27 17:16:35;4000000000000041;Nome4;2025-08-27 17:16:35;F;2025-08-27 17:16:35
Nome84;Sobrenome84;52;544.00;Pagamento Aluguel;2024-03-15 17:16:35;4000000000000841;Nome84;2025-06-08 17:16:35;F;2025-06-08 17:16:35
Nome82;Sobrenome82;50;242.00;Supermercado;2025-01-11 17:16:35;4000000000000821;Nome82;2025-06-10 17:16:35;F;2025-06-10 17:16:35
Nome24;Sobrenome24;42;154.00;Supermercado;2025-04-09 17:16:35;4000000000000242;Nome24;2025-08-07 17:16:35;F;2025-08-07 17:16:35
Nome42;Sobrenome42;60;652.00;Pagamento Aluguel;2023-11-28 17:16:35;4000000000000421;Nome42;2025-07-20 17:16:35;F;2025-07-20 17:16:35
Nome3;Sobrenome3;21;283.00;Restaurante;2024-12-01 17:16:35;4000000000000032;Nome3;2025-08-28 17:16:35;J;2025-08-28 17:16:35
Nome92;Sobrenome92;60;852.00;Pagamento Aluguel;2023-05-12 17:16:35;4000000000000921;Nome92;2025-05-31 17:16:35;F;2025-05-31 17:16:35
Nome64;Sobrenome64;32;74.00;Supermercado;2025-06-28 17:16:35;4000000000000641;Nome64;2025-06-28 17:16:35;F;2025-06-28 17:16:35
Nome17;Sobrenome17;35;477.00;Compra Online;2024-05-21 17:16:35;4000000000000171;Nome17;2025-08-14 17:16:35;J;2025-08-14 17:16:35
Nome7;Sobrenome7;25;467.00;Restaurante;2024-05-31 17:16:35;4000000000000071;Nome7;2025-08-24 17:16:35;J;2025-08-24 17:16:35
Nome71;Sobrenome71;39;81.00;Compra Online;2025-06-21 17:16:35;4000000000000711;Nome71;2025-06-21 17:16:35;J;2025-06-21 17:16:35
Nome2;Sobrenome2;20;432.00;Pagamento Aluguel;2024-07-05 17:16:35;4000000000000022;Nome2;2025-08-29 17:16:35;F;2025-08-29 17:16:35
Nome18;Sobrenome18;36;598.00;Supermercado;2024-01-21 17:16:35;4000000000000182;Nome18;2025-08-13 17:16:35;F;2025-08-13 17:16:35
Nome27;Sobrenome27;45;787.00;Restaurante;2023-07-16 17:16:35;4000000000000271;Nome27;2025-08-04 17:16:35;J;2025-08-04 17:16:35
Nome27;Sobrenome27;45;907.00;Restaurante;2023-03-18 17:16:35;4000000000000272;Nome27;2025-08-04 17:16:35;J;2025-08-04 17:16:35
Nome16;Sobrenome16;34;326.00;Supermercado;2024-10-19 17:16:35;4000000000000161;Nome16;2025-08-15 17:16:35;F;2025-08-15 17:16:35
Nome20;Sobrenome20;38;450.00;Supermercado;2024-06-17 17:16:35;4000000000000202;Nome20;2025-08-11 17:16:35;F;2025-08-11 17:16:35
Nome5;Sobrenome5;23;585.00;Compra Online;2024-02-03 17:16:35;4000000000000052;Nome5;2025-08-26 17:16:35;J;2025-08-26 17:16:35
Nome23;Sobrenome23;41;333.00;Compra Online;2024-10-12 17:16:35;4000000000000231;Nome23;2025-08-08 17:16:35;J;2025-08-08 17:16:35
Nome16;Sobrenome16;34;776.00;Pagamento Aluguel;2023-07-27 17:16:35;4000000000000161;Nome16;2025-08-15 17:16:35;F;2025-08-15 17:16:35
Nome58;Sobrenome58;26;368.00;Pagamento Aluguel;2024-09-07 17:16:35;4000000000000581;Nome58;2025-07-04 17:16:35;F;2025-07-04 17:16:35
Nome33;Sobrenome33;51;793.00;Compra Online;2023-07-10 17:16:35;4000000000000331;Nome33;2025-07-29 17:16:35;J;2025-07-29 17:16:35
Nome30;Sobrenome30;48;310.00;Supermercado;2024-11-04 17:16:35;4000000000000302;Nome30;2025-08-01 17:16:35;F;2025-08-01 17:16:35
Nome3;Sobrenome3;21;583.00;Restaurante;2024-02-05 17:16:35;4000000000000032;Nome3;2025-08-28 17:16:35;J;2025-08-28 17:16:35
Nome100;Sobrenome100;18;710.00;Supermercado;2023-10-01 17:16:35;4000000000001001;Nome100;2025-05-23 17:16:35;F;2025-05-23 17:16:35
Nome23;Sobrenome23;41;153.00;Compra Online;2025-04-10 17:16:35;4000000000000232;Nome23;2025-08-08 17:16:35;J;2025-08-08 17:16:35
Nome14;Sobrenome14;32;124.00;Pagamento Aluguel;2025-05-09 17:16:35;4000000000001141;Nome14;2025-05-09 17:16:35;F;2025-05-09 17:16:35
